row_id,student_ref,accommodation_key,accommodation_id,class_ref,confirmed,confirmed_by,confirmed_at
CF-00001,RIV-1001,extended-time,3b341238-caab-51d4-8b11-a3913e1fa7d7,ENG-101,true,T-DELGADO,2026-11-05T16:00:00Z
CF-00002,RIV-1001,extended-time,3b341238-caab-51d4-8b11-a3913e1fa7d7,MTH-101,true,T-OKAFOR,2026-11-05T16:00:00Z
CF-00003,RIV-1001,extended-time,3b341238-caab-51d4-8b11-a3913e1fa7d7,BIO-101,true,T-CHEN,2026-11-05T16:00:00Z
CF-00004,RIV-1001,extended-time,3b341238-caab-51d4-8b11-a3913e1fa7d7,HIS-101,false,,
CF-00005,RIV-1001,extended-time,3b341238-caab-51d4-8b11-a3913e1fa7d7,PE-101,false,,
CF-00006,RIV-1001,extended-time,3b341238-caab-51d4-8b11-a3913e1fa7d7,ART-101,false,,
CF-00007,RIV-1008,extended-time,fa209c27-6612-5ba7-ab7d-68e07318377d,ENG-101,true,T-DELGADO,2026-11-05T16:00:00Z
CF-00008,RIV-1008,extended-time,fa209c27-6612-5ba7-ab7d-68e07318377d,MTH-101,true,T-OKAFOR,2026-11-05T16:00:00Z
CF-00009,RIV-1008,extended-time,fa209c27-6612-5ba7-ab7d-68e07318377d,BIO-101,true,T-CHEN,2026-11-05T16:00:00Z
CF-00010,RIV-1008,extended-time,fa209c27-6612-5ba7-ab7d-68e07318377d,HIS-101,true,T-PORTER,2026-11-05T16:00:00Z
CF-00011,RIV-1008,extended-time,fa209c27-6612-5ba7-ab7d-68e07318377d,PE-101,true,T-RIVERA,2026-11-05T16:00:00Z
CF-00012,RIV-1008,extended-time,fa209c27-6612-5ba7-ab7d-68e07318377d,ART-101,true,T-FELDMAN,2026-11-05T16:00:00Z
