row_id,date,student_ref,class_ref,assignment,category,percent,iep_goal_key,iep_goal_id
GB-00461,2026-08-19,RIV-1001,ART-101,ART Assessment 1,assessment,79,,
GB-00462,2026-08-19,RIV-1002,ART-101,ART Assessment 1,assessment,85,,
GB-00463,2026-08-19,RIV-1003,ART-101,ART Assessment 1,assessment,93,,
GB-00464,2026-08-19,RIV-1004,ART-101,ART Assessment 1,assessment,91,,
GB-00465,2026-08-19,RIV-1005,ART-101,ART Assessment 1,assessment,77,,
GB-00466,2026-08-19,RIV-1007,ART-101,ART Assessment 1,assessment,91,,
GB-00467,2026-08-19,RIV-1008,ART-101,ART Assessment 1,assessment,84,,
GB-00468,2026-08-19,RIV-1009,ART-101,ART Assessment 1,assessment,87,,
GB-00469,2026-08-19,RIV-1010,ART-101,ART Assessment 1,assessment,82,,
GB-00470,2026-08-19,RIV-1011,ART-101,ART Assessment 1,assessment,69,,
GB-00471,2026-08-19,RIV-1012,ART-101,ART Assessment 1,assessment,81,,
GB-00472,2026-09-02,RIV-1001,ART-101,ART Assessment 2,assessment,84,,
GB-00473,2026-09-02,RIV-1002,ART-101,ART Assessment 2,assessment,90,,
GB-00474,2026-09-02,RIV-1003,ART-101,ART Assessment 2,assessment,88,,
GB-00475,2026-09-02,RIV-1004,ART-101,ART Assessment 2,assessment,79,,
GB-00476,2026-09-02,RIV-1005,ART-101,ART Assessment 2,assessment,74,,
GB-00477,2026-09-02,RIV-1007,ART-101,ART Assessment 2,assessment,83,,
GB-00478,2026-09-02,RIV-1008,ART-101,ART Assessment 2,assessment,74,,
GB-00479,2026-09-02,RIV-1009,ART-101,ART Assessment 2,assessment,76,,
GB-00480,2026-09-02,RIV-1010,ART-101,ART Assessment 2,assessment,77,,
GB-00481,2026-09-02,RIV-1011,ART-101,ART Assessment 2,assessment,69,,
GB-00482,2026-09-02,RIV-1012,ART-101,ART Assessment 2,assessment,79,,
GB-00483,2026-09-16,RIV-1001,ART-101,ART Assessment 3,assessment,87,,
GB-00484,2026-09-16,RIV-1002,ART-101,ART Assessment 3,assessment,84,,
GB-00485,2026-09-16,RIV-1003,ART-101,ART Assessment 3,assessment,97,,
GB-00486,2026-09-16,RIV-1004,ART-101,ART Assessment 3,assessment,92,,
GB-00487,2026-09-16,RIV-1005,ART-101,ART Assessment 3,assessment,80,,
GB-00488,2026-09-16,RIV-1007,ART-101,ART Assessment 3,assessment,84,,
GB-00489,2026-09-16,RIV-1008,ART-101,ART Assessment 3,assessment,81,,
GB-00490,2026-09-16,RIV-1009,ART-101,ART Assessment 3,assessment,76,,
GB-00491,2026-09-16,RIV-1010,ART-101,ART Assessment 3,assessment,84,,
GB-00492,2026-09-16,RIV-1011,ART-101,ART Assessment 3,assessment,77,,
GB-00493,2026-09-16,RIV-1012,ART-101,ART Assessment 3,assessment,74,,
GB-00494,2026-09-30,RIV-1001,ART-101,ART Assessment 4,assessment,81,,
GB-00495,2026-09-30,RIV-1002,ART-101,ART Assessment 4,assessment,91,,
GB-00496,2026-09-30,RIV-1003,ART-101,ART Assessment 4,assessment,97,,
GB-00497,2026-09-30,RIV-1004,ART-101,ART Assessment 4,assessment,92,,
GB-00498,2026-09-30,RIV-1005,ART-101,ART Assessment 4,assessment,81,,
GB-00499,2026-09-30,RIV-1007,ART-101,ART Assessment 4,assessment,84,,
GB-00500,2026-09-30,RIV-1008,ART-101,ART Assessment 4,assessment,85,,
GB-00501,2026-09-30,RIV-1009,ART-101,ART Assessment 4,assessment,88,,
GB-00502,2026-09-30,RIV-1010,ART-101,ART Assessment 4,assessment,84,,
GB-00503,2026-09-30,RIV-1011,ART-101,ART Assessment 4,assessment,67,,
GB-00504,2026-09-30,RIV-1012,ART-101,ART Assessment 4,assessment,82,,
GB-00505,2026-10-14,RIV-1001,ART-101,ART Assessment 5,assessment,83,,
GB-00506,2026-10-14,RIV-1002,ART-101,ART Assessment 5,assessment,92,,
GB-00507,2026-10-14,RIV-1003,ART-101,ART Assessment 5,assessment,94,,
GB-00508,2026-10-14,RIV-1004,ART-101,ART Assessment 5,assessment,94,,
GB-00509,2026-10-14,RIV-1005,ART-101,ART Assessment 5,assessment,70,,
GB-00510,2026-10-14,RIV-1006,ART-101,ART Assessment 5,assessment,87,,
GB-00511,2026-10-14,RIV-1007,ART-101,ART Assessment 5,assessment,89,,
GB-00512,2026-10-14,RIV-1008,ART-101,ART Assessment 5,assessment,74,,
GB-00513,2026-10-14,RIV-1009,ART-101,ART Assessment 5,assessment,90,,
GB-00514,2026-10-14,RIV-1010,ART-101,ART Assessment 5,assessment,79,,
