row_id,date,student_ref,class_ref,assignment,category,percent,iep_goal_key,iep_goal_id
GB-00185,2026-08-19,RIV-1001,BIO-101,BIO Assessment 1,assessment,76,,
GB-00186,2026-08-19,RIV-1002,BIO-101,BIO Assessment 1,assessment,88,,
GB-00187,2026-08-19,RIV-1003,BIO-101,BIO Assessment 1,assessment,94,,
GB-00188,2026-08-19,RIV-1004,BIO-101,BIO Assessment 1,assessment,88,,
GB-00189,2026-08-19,RIV-1005,BIO-101,BIO Assessment 1,assessment,85,,
GB-00190,2026-08-19,RIV-1007,BIO-101,BIO Assessment 1,assessment,85,,
GB-00191,2026-08-19,RIV-1008,BIO-101,BIO Assessment 1,assessment,83,,
GB-00192,2026-08-19,RIV-1009,BIO-101,BIO Assessment 1,assessment,82,,
GB-00193,2026-08-19,RIV-1010,BIO-101,BIO Assessment 1,assessment,73,,
GB-00194,2026-08-19,RIV-1011,BIO-101,BIO Assessment 1,assessment,78,,
GB-00195,2026-08-19,RIV-1012,BIO-101,BIO Assessment 1,assessment,73,,
GB-00196,2026-09-02,RIV-1001,BIO-101,BIO Assessment 2,assessment,87,,
GB-00197,2026-09-02,RIV-1002,BIO-101,BIO Assessment 2,assessment,89,,
GB-00198,2026-09-02,RIV-1003,BIO-101,BIO Assessment 2,assessment,81,,
GB-00199,2026-09-02,RIV-1004,BIO-101,BIO Assessment 2,assessment,91,,
GB-00200,2026-09-02,RIV-1005,BIO-101,BIO Assessment 2,assessment,76,,
GB-00201,2026-09-02,RIV-1007,BIO-101,BIO Assessment 2,assessment,89,,
GB-00202,2026-09-02,RIV-1008,BIO-101,BIO Assessment 2,assessment,78,,
GB-00203,2026-09-02,RIV-1009,BIO-101,BIO Assessment 2,assessment,79,,
GB-00204,2026-09-02,RIV-1010,BIO-101,BIO Assessment 2,assessment,87,,
GB-00205,2026-09-02,RIV-1011,BIO-101,BIO Assessment 2,assessment,70,,
GB-00206,2026-09-02,RIV-1012,BIO-101,BIO Assessment 2,assessment,75,,
GB-00207,2026-09-16,RIV-1001,BIO-101,BIO Assessment 3,assessment,76,,
GB-00208,2026-09-16,RIV-1002,BIO-101,BIO Assessment 3,assessment,79,,
GB-00209,2026-09-16,RIV-1003,BIO-101,BIO Assessment 3,assessment,96,,
GB-00210,2026-09-16,RIV-1004,BIO-101,BIO Assessment 3,assessment,85,,
GB-00211,2026-09-16,RIV-1005,BIO-101,BIO Assessment 3,assessment,75,,
GB-00212,2026-09-16,RIV-1007,BIO-101,BIO Assessment 3,assessment,78,,
GB-00213,2026-09-16,RIV-1008,BIO-101,BIO Assessment 3,assessment,81,,
GB-00214,2026-09-16,RIV-1009,BIO-101,BIO Assessment 3,assessment,74,,
