row_id,date,student_ref,class_ref,assignment,category,percent,iep_goal_key,iep_goal_id
GB-00001,2026-08-19,RIV-1001,ENG-101,ENG Assessment 1,assessment,42,g2-comprehension,4b1d6211-e0d5-5f48-abcd-de1671516402
GB-00002,2026-08-19,RIV-1002,ENG-101,ENG Assessment 1,assessment,81,,
GB-00003,2026-08-19,RIV-1003,ENG-101,ENG Assessment 1,assessment,82,g2-narrative,fb10cc84-d961-5efd-af24-a17b0e5589df
GB-00004,2026-08-19,RIV-1004,ENG-101,ENG Assessment 1,assessment,95,,
GB-00005,2026-08-19,RIV-1005,ENG-101,ENG Assessment 1,assessment,73,g2-vocabulary,3fe3e62a-1288-5ee6-b0ef-99a974e2896a
GB-00006,2026-08-19,RIV-1007,ENG-101,ENG Assessment 1,assessment,88,g2-writing,7cdd64af-77df-59f6-8c23-1028f3d555e6
GB-00007,2026-08-19,RIV-1008,ENG-101,ENG Assessment 1,assessment,80,,
GB-00008,2026-08-19,RIV-1009,ENG-101,ENG Assessment 1,assessment,80,g1-grammar,16cb0258-aca1-5e37-81d8-d7a9c3914174
GB-00009,2026-08-19,RIV-1010,ENG-101,ENG Assessment 1,assessment,88,g1-fluency,e6f232d7-ffb8-54b7-a41a-bd201a31b7e8
GB-00010,2026-08-19,RIV-1011,ENG-101,ENG Assessment 1,assessment,71,g1-vocabulary,fbd161d4-684e-5a39-9158-246cd705f95b
GB-00011,2026-08-19,RIV-1012,ENG-101,ENG Assessment 1,assessment,79,,
GB-00012,2026-09-02,RIV-1001,ENG-101,ENG Assessment 2,assessment,38,g2-comprehension,4b1d6211-e0d5-5f48-abcd-de1671516402
GB-00013,2026-09-02,RIV-1002,ENG-101,ENG Assessment 2,assessment,84,,
GB-00014,2026-09-02,RIV-1003,ENG-101,ENG Assessment 2,assessment,88,g2-narrative,fb10cc84-d961-5efd-af24-a17b0e5589df
GB-00015,2026-09-02,RIV-1004,ENG-101,ENG Assessment 2,assessment,80,,
GB-00016,2026-09-02,RIV-1005,ENG-101,ENG Assessment 2,assessment,70,g2-vocabulary,3fe3e62a-1288-5ee6-b0ef-99a974e2896a
GB-00017,2026-09-02,RIV-1007,ENG-101,ENG Assessment 2,assessment,76,g2-writing,7cdd64af-77df-59f6-8c23-1028f3d555e6
GB-00018,2026-09-02,RIV-1008,ENG-101,ENG Assessment 2,assessment,77,,
GB-00019,2026-09-02,RIV-1009,ENG-101,ENG Assessment 2,assessment,78,g1-grammar,16cb0258-aca1-5e37-81d8-d7a9c3914174
GB-00020,2026-09-02,RIV-1010,ENG-101,ENG Assessment 2,assessment,80,g1-fluency,e6f232d7-ffb8-54b7-a41a-bd201a31b7e8
GB-00021,2026-09-02,RIV-1011,ENG-101,ENG Assessment 2,assessment,67,g1-vocabulary,fbd161d4-684e-5a39-9158-246cd705f95b
GB-00022,2026-09-02,RIV-1012,ENG-101,ENG Assessment 2,assessment,82,,
GB-00023,2026-09-16,RIV-1001,ENG-101,ENG Assessment 3,assessment,40,g2-comprehension,4b1d6211-e0d5-5f48-abcd-de1671516402
GB-00024,2026-09-16,RIV-1002,ENG-101,ENG Assessment 3,assessment,80,,
GB-00025,2026-09-16,RIV-1003,ENG-101,ENG Assessment 3,assessment,90,g2-narrative,fb10cc84-d961-5efd-af24-a17b0e5589df
GB-00026,2026-09-16,RIV-1004,ENG-101,ENG Assessment 3,assessment,82,,
GB-00027,2026-09-16,RIV-1005,ENG-101,ENG Assessment 3,assessment,76,g2-vocabulary,3fe3e62a-1288-5ee6-b0ef-99a974e2896a
GB-00028,2026-09-16,RIV-1007,ENG-101,ENG Assessment 3,assessment,79,g2-writing,7cdd64af-77df-59f6-8c23-1028f3d555e6
GB-00029,2026-09-16,RIV-1008,ENG-101,ENG Assessment 3,assessment,77,,
GB-00030,2026-09-16,RIV-1009,ENG-101,ENG Assessment 3,assessment,81,g1-grammar,16cb0258-aca1-5e37-81d8-d7a9c3914174
GB-00031,2026-09-16,RIV-1010,ENG-101,ENG Assessment 3,assessment,78,g1-fluency,e6f232d7-ffb8-54b7-a41a-bd201a31b7e8
GB-00032,2026-09-16,RIV-1011,ENG-101,ENG Assessment 3,assessment,77,g1-vocabulary,fbd161d4-684e-5a39-9158-246cd705f95b
GB-00033,2026-09-16,RIV-1012,ENG-101,ENG Assessment 3,assessment,78,,
GB-00034,2026-09-30,RIV-1001,ENG-101,ENG Assessment 4,assessment,41,g2-comprehension,4b1d6211-e0d5-5f48-abcd-de1671516402
GB-00035,2026-09-30,RIV-1002,ENG-101,ENG Assessment 4,assessment,80,,
GB-00036,2026-09-30,RIV-1003,ENG-101,ENG Assessment 4,assessment,81,g2-narrative,fb10cc84-d961-5efd-af24-a17b0e5589df
GB-00037,2026-09-30,RIV-1004,ENG-101,ENG Assessment 4,assessment,89,,
GB-00038,2026-09-30,RIV-1005,ENG-101,ENG Assessment 4,assessment,84,g2-vocabulary,3fe3e62a-1288-5ee6-b0ef-99a974e2896a
GB-00039,2026-09-30,RIV-1007,ENG-101,ENG Assessment 4,assessment,77,g2-writing,7cdd64af-77df-59f6-8c23-1028f3d555e6
GB-00040,2026-09-30,RIV-1008,ENG-101,ENG Assessment 4,assessment,71,,
GB-00041,2026-09-30,RIV-1009,ENG-101,ENG Assessment 4,assessment,86,g1-grammar,16cb0258-aca1-5e37-81d8-d7a9c3914174
GB-00042,2026-09-30,RIV-1010,ENG-101,ENG Assessment 4,assessment,77,g1-fluency,e6f232d7-ffb8-54b7-a41a-bd201a31b7e8
GB-00043,2026-09-30,RIV-1011,ENG-101,ENG Assessment 4,assessment,69,g1-vocabulary,fbd161d4-684e-5a39-9158-246cd705f95b
GB-00044,2026-09-30,RIV-1012,ENG-101,ENG Assessment 4,assessment,78,,
GB-00045,2026-10-14,RIV-1001,ENG-101,ENG Assessment 5,assessment,39,g2-comprehension,4b1d6211-e0d5-5f48-abcd-de1671516402
GB-00046,2026-10-14,RIV-1002,ENG-101,ENG Assessment 5,assessment,79,,
GB-00047,2026-10-14,RIV-1003,ENG-101,ENG Assessment 5,assessment,92,g2-narrative,fb10cc84-d961-5efd-af24-a17b0e5589df
GB-00048,2026-10-14,RIV-1004,ENG-101,ENG Assessment 5,assessment,84,,
GB-00049,2026-10-14,RIV-1005,ENG-101,ENG Assessment 5,assessment,78,g2-vocabulary,3fe3e62a-1288-5ee6-b0ef-99a974e2896a
GB-00050,2026-10-14,RIV-1006,ENG-101,ENG Assessment 5,assessment,90,,
GB-00051,2026-10-14,RIV-1007,ENG-101,ENG Assessment 5,assessment,87,g2-writing,7cdd64af-77df-59f6-8c23-1028f3d555e6
GB-00052,2026-10-14,RIV-1008,ENG-101,ENG Assessment 5,assessment,81,,
GB-00053,2026-10-14,RIV-1009,ENG-101,ENG Assessment 5,assessment,76,g1-grammar,16cb0258-aca1-5e37-81d8-d7a9c3914174
GB-00054,2026-10-14,RIV-1010,ENG-101,ENG Assessment 5,assessment,75,g1-fluency,e6f232d7-ffb8-54b7-a41a-bd201a31b7e8
GB-00055,2026-10-14,RIV-1011,ENG-101,ENG Assessment 5,assessment,79,g1-vocabulary,fbd161d4-684e-5a39-9158-246cd705f95b
GB-00056,2026-10-14,RIV-1012,ENG-101,ENG Assessment 5,assessment,84,,
GB-00057,2026-10-28,RIV-1001,ENG-101,ENG Assessment 6,assessment,42,g2-comprehension,4b1d6211-e0d5-5f48-abcd-de1671516402
GB-00058,2026-10-28,RIV-1002,ENG-101,ENG Assessment 6,assessment,86,,
GB-00059,2026-10-28,RIV-1003,ENG-101,ENG Assessment 6,assessment,94,g2-narrative,fb10cc84-d961-5efd-af24-a17b0e5589df
GB-00060,2026-10-28,RIV-1004,ENG-101,ENG Assessment 6,assessment,89,,
GB-00061,2026-10-28,RIV-1005,ENG-101,ENG Assessment 6,assessment,79,g2-vocabulary,3fe3e62a-1288-5ee6-b0ef-99a974e2896a
GB-00062,2026-10-28,RIV-1006,ENG-101,ENG Assessment 6,assessment,86,,
GB-00063,2026-10-28,RIV-1007,ENG-101,ENG Assessment 6,assessment,84,g2-writing,7cdd64af-77df-59f6-8c23-1028f3d555e6
GB-00064,2026-10-28,RIV-1008,ENG-101,ENG Assessment 6,assessment,82,,
GB-00065,2026-10-28,RIV-1009,ENG-101,ENG Assessment 6,assessment,82,g1-grammar,16cb0258-aca1-5e37-81d8-d7a9c3914174
GB-00066,2026-10-28,RIV-1010,ENG-101,ENG Assessment 6,assessment,77,g1-fluency,e6f232d7-ffb8-54b7-a41a-bd201a31b7e8
GB-00067,2026-10-28,RIV-1011,ENG-101,ENG Assessment 6,assessment,83,g1-vocabulary,fbd161d4-684e-5a39-9158-246cd705f95b
GB-00068,2026-10-28,RIV-1012,ENG-101,ENG Assessment 6,assessment,89,,
GB-00069,2026-11-18,RIV-1001,ENG-101,ENG Assessment 7,assessment,38,g2-comprehension,4b1d6211-e0d5-5f48-abcd-de1671516402
GB-00070,2026-11-18,RIV-1002,ENG-101,ENG Assessment 7,assessment,92,,
GB-00071,2026-11-18,RIV-1003,ENG-101,ENG Assessment 7,assessment,89,g2-narrative,fb10cc84-d961-5efd-af24-a17b0e5589df
GB-00072,2026-11-18,RIV-1004,ENG-101,ENG Assessment 7,assessment,86,,
GB-00073,2026-11-18,RIV-1005,ENG-101,ENG Assessment 7,assessment,84,g2-vocabulary,3fe3e62a-1288-5ee6-b0ef-99a974e2896a
GB-00074,2026-11-18,RIV-1006,ENG-101,ENG Assessment 7,assessment,92,,
GB-00075,2026-11-18,RIV-1007,ENG-101,ENG Assessment 7,assessment,82,g2-writing,7cdd64af-77df-59f6-8c23-1028f3d555e6
GB-00076,2026-11-18,RIV-1008,ENG-101,ENG Assessment 7,assessment,73,,
GB-00077,2026-11-18,RIV-1009,ENG-101,ENG Assessment 7,assessment,84,g1-grammar,16cb0258-aca1-5e37-81d8-d7a9c3914174
GB-00078,2026-11-18,RIV-1010,ENG-101,ENG Assessment 7,assessment,87,g1-fluency,e6f232d7-ffb8-54b7-a41a-bd201a31b7e8
GB-00079,2026-11-18,RIV-1011,ENG-101,ENG Assessment 7,assessment,82,g1-vocabulary,fbd161d4-684e-5a39-9158-246cd705f95b
