row_id,date,student_ref,class_ref,assignment,category,percent,iep_goal_key,iep_goal_id
GB-00277,2026-08-19,RIV-1001,HIS-101,HIS Assessment 1,assessment,79,,
GB-00278,2026-08-19,RIV-1002,HIS-101,HIS Assessment 1,assessment,89,,
GB-00279,2026-08-19,RIV-1003,HIS-101,HIS Assessment 1,assessment,81,,
GB-00280,2026-08-19,RIV-1004,HIS-101,HIS Assessment 1,assessment,88,,
GB-00281,2026-08-19,RIV-1005,HIS-101,HIS Assessment 1,assessment,77,,
GB-00282,2026-08-19,RIV-1007,HIS-101,HIS Assessment 1,assessment,84,,
GB-00283,2026-08-19,RIV-1008,HIS-101,HIS Assessment 1,assessment,69,,
GB-00284,2026-08-19,RIV-1009,HIS-101,HIS Assessment 1,assessment,81,,
GB-00285,2026-08-19,RIV-1010,HIS-101,HIS Assessment 1,assessment,86,,
GB-00286,2026-08-19,RIV-1011,HIS-101,HIS Assessment 1,assessment,69,,
GB-00287,2026-08-19,RIV-1012,HIS-101,HIS Assessment 1,assessment,87,,
GB-00288,2026-09-02,RIV-1001,HIS-101,HIS Assessment 2,assessment,74,,
GB-00289,2026-09-02,RIV-1002,HIS-101,HIS Assessment 2,assessment,90,,
GB-00290,2026-09-02,RIV-1003,HIS-101,HIS Assessment 2,assessment,94,,
GB-00291,2026-09-02,RIV-1004,HIS-101,HIS Assessment 2,assessment,85,,
GB-00292,2026-09-02,RIV-1005,HIS-101,HIS Assessment 2,assessment,84,,
GB-00293,2026-09-02,RIV-1007,HIS-101,HIS Assessment 2,assessment,92,,
GB-00294,2026-09-02,RIV-1008,HIS-101,HIS Assessment 2,assessment,83,,
GB-00295,2026-09-02,RIV-1009,HIS-101,HIS Assessment 2,assessment,79,,
GB-00296,2026-09-02,RIV-1010,HIS-101,HIS Assessment 2,assessment,79,,
GB-00297,2026-09-02,RIV-1011,HIS-101,HIS Assessment 2,assessment,73,,
GB-00298,2026-09-02,RIV-1012,HIS-101,HIS Assessment 2,assessment,80,,
GB-00299,2026-09-16,RIV-1001,HIS-101,HIS Assessment 3,assessment,76,,
GB-00300,2026-09-16,RIV-1002,HIS-101,HIS Assessment 3,assessment,81,,
GB-00301,2026-09-16,RIV-1003,HIS-101,HIS Assessment 3,assessment,82,,
GB-00302,2026-09-16,RIV-1004,HIS-101,HIS Assessment 3,assessment,79,,
GB-00303,2026-09-16,RIV-1005,HIS-101,HIS Assessment 3,assessment,84,,
GB-00304,2026-09-16,RIV-1007,HIS-101,HIS Assessment 3,assessment,91,,
GB-00305,2026-09-16,RIV-1008,HIS-101,HIS Assessment 3,assessment,79,,
GB-00306,2026-09-16,RIV-1009,HIS-101,HIS Assessment 3,assessment,86,,
GB-00307,2026-09-16,RIV-1010,HIS-101,HIS Assessment 3,assessment,82,,
GB-00308,2026-09-16,RIV-1011,HIS-101,HIS Assessment 3,assessment,81,,
GB-00309,2026-09-16,RIV-1012,HIS-101,HIS Assessment 3,assessment,87,,
GB-00310,2026-09-30,RIV-1001,HIS-101,HIS Assessment 4,assessment,77,,
GB-00311,2026-09-30,RIV-1002,HIS-101,HIS Assessment 4,assessment,80,,
