row_id,date,student_ref,class_ref,assignment,category,percent,iep_goal_key,iep_goal_id
GB-00093,2026-08-19,RIV-1001,MTH-101,MTH Assessment 1,assessment,76,,
GB-00094,2026-08-19,RIV-1002,MTH-101,MTH Assessment 1,assessment,91,,
GB-00095,2026-08-19,RIV-1003,MTH-101,MTH Assessment 1,assessment,94,,
GB-00096,2026-08-19,RIV-1004,MTH-101,MTH Assessment 1,assessment,91,,
GB-00097,2026-08-19,RIV-1005,MTH-101,MTH Assessment 1,assessment,79,,
GB-00098,2026-08-19,RIV-1007,MTH-101,MTH Assessment 1,assessment,90,,
GB-00099,2026-08-19,RIV-1008,MTH-101,MTH Assessment 1,assessment,82,,
GB-00100,2026-08-19,RIV-1009,MTH-101,MTH Assessment 1,assessment,87,,
GB-00101,2026-08-19,RIV-1010,MTH-101,MTH Assessment 1,assessment,88,,
GB-00102,2026-08-19,RIV-1011,MTH-101,MTH Assessment 1,assessment,68,,
GB-00103,2026-08-19,RIV-1012,MTH-101,MTH Assessment 1,assessment,81,,
GB-00104,2026-09-02,RIV-1001,MTH-101,MTH Assessment 2,assessment,87,,
GB-00105,2026-09-02,RIV-1002,MTH-101,MTH Assessment 2,assessment,78,,
GB-00106,2026-09-02,RIV-1003,MTH-101,MTH Assessment 2,assessment,94,,
GB-00107,2026-09-02,RIV-1004,MTH-101,MTH Assessment 2,assessment,93,,
GB-00108,2026-09-02,RIV-1005,MTH-101,MTH Assessment 2,assessment,79,,
GB-00109,2026-09-02,RIV-1007,MTH-101,MTH Assessment 2,assessment,80,,
GB-00110,2026-09-02,RIV-1008,MTH-101,MTH Assessment 2,assessment,73,,
GB-00111,2026-09-02,RIV-1009,MTH-101,MTH Assessment 2,assessment,86,,
GB-00112,2026-09-02,RIV-1010,MTH-101,MTH Assessment 2,assessment,73,,
GB-00113,2026-09-02,RIV-1011,MTH-101,MTH Assessment 2,assessment,76,,
