row_id,date,student_ref,class_ref,assignment,category,percent,iep_goal_key,iep_goal_id
GB-00369,2026-08-19,RIV-1001,PE-101,PE Assessment 1,assessment,84,,
GB-00370,2026-08-19,RIV-1002,PE-101,PE Assessment 1,assessment,78,,
GB-00371,2026-08-19,RIV-1003,PE-101,PE Assessment 1,assessment,86,,
GB-00372,2026-08-19,RIV-1004,PE-101,PE Assessment 1,assessment,92,,
GB-00373,2026-08-19,RIV-1005,PE-101,PE Assessment 1,assessment,86,,
GB-00374,2026-08-19,RIV-1007,PE-101,PE Assessment 1,assessment,89,,
GB-00375,2026-08-19,RIV-1008,PE-101,PE Assessment 1,assessment,76,,
GB-00376,2026-08-19,RIV-1009,PE-101,PE Assessment 1,assessment,78,,
GB-00377,2026-08-19,RIV-1010,PE-101,PE Assessment 1,assessment,77,,
GB-00378,2026-08-19,RIV-1011,PE-101,PE Assessment 1,assessment,78,,
GB-00379,2026-08-19,RIV-1012,PE-101,PE Assessment 1,assessment,74,,
GB-00380,2026-09-02,RIV-1001,PE-101,PE Assessment 2,assessment,81,,
GB-00381,2026-09-02,RIV-1002,PE-101,PE Assessment 2,assessment,91,,
GB-00382,2026-09-02,RIV-1003,PE-101,PE Assessment 2,assessment,87,,
GB-00383,2026-09-02,RIV-1004,PE-101,PE Assessment 2,assessment,82,,
GB-00384,2026-09-02,RIV-1005,PE-101,PE Assessment 2,assessment,85,,
GB-00385,2026-09-02,RIV-1007,PE-101,PE Assessment 2,assessment,85,,
GB-00386,2026-09-02,RIV-1008,PE-101,PE Assessment 2,assessment,76,,
GB-00387,2026-09-02,RIV-1009,PE-101,PE Assessment 2,assessment,77,,
GB-00388,2026-09-02,RIV-1010,PE-101,PE Assessment 2,assessment,76,,
GB-00389,2026-09-02,RIV-1011,PE-101,PE Assessment 2,assessment,69,,
GB-00390,2026-09-02,RIV-1012,PE-101,PE Assessment 2,assessment,86,,
GB-00391,2026-09-16,RIV-1001,PE-101,PE Assessment 3,assessment,79,,
GB-00392,2026-09-16,RIV-1002,PE-101,PE Assessment 3,assessment,87,,
GB-00393,2026-09-16,RIV-1003,PE-101,PE Assessment 3,assessment,91,,
GB-00394,2026-09-16,RIV-1004,PE-101,PE Assessment 3,assessment,82,,
GB-00395,2026-09-16,RIV-1005,PE-101,PE Assessment 3,assessment,85,,
GB-00396,2026-09-16,RIV-1007,PE-101,PE Assessment 3,assessment,82,,
GB-00397,2026-09-16,RIV-1008,PE-101,PE Assessment 3,assessment,84,,
GB-00398,2026-09-16,RIV-1009,PE-101,PE Assessment 3,assessment,77,,
GB-00399,2026-09-16,RIV-1010,PE-101,PE Assessment 3,assessment,84,,
GB-00400,2026-09-16,RIV-1011,PE-101,PE Assessment 3,assessment,80,,
GB-00401,2026-09-16,RIV-1012,PE-101,PE Assessment 3,assessment,78,,
GB-00402,2026-09-30,RIV-1001,PE-101,PE Assessment 4,assessment,80,,
GB-00403,2026-09-30,RIV-1002,PE-101,PE Assessment 4,assessment,89,,
GB-00404,2026-09-30,RIV-1003,PE-101,PE Assessment 4,assessment,84,,
GB-00405,2026-09-30,RIV-1004,PE-101,PE Assessment 4,assessment,85,,
GB-00406,2026-09-30,RIV-1005,PE-101,PE Assessment 4,assessment,71,,
GB-00407,2026-09-30,RIV-1007,PE-101,PE Assessment 4,assessment,78,,
GB-00408,2026-09-30,RIV-1008,PE-101,PE Assessment 4,assessment,76,,
GB-00409,2026-09-30,RIV-1009,PE-101,PE Assessment 4,assessment,85,,
GB-00410,2026-09-30,RIV-1010,PE-101,PE Assessment 4,assessment,85,,
GB-00411,2026-09-30,RIV-1011,PE-101,PE Assessment 4,assessment,83,,
GB-00412,2026-09-30,RIV-1012,PE-101,PE Assessment 4,assessment,73,,
GB-00413,2026-10-14,RIV-1001,PE-101,PE Assessment 5,assessment,84,,
GB-00414,2026-10-14,RIV-1002,PE-101,PE Assessment 5,assessment,89,,
GB-00415,2026-10-14,RIV-1003,PE-101,PE Assessment 5,assessment,97,,
GB-00416,2026-10-14,RIV-1004,PE-101,PE Assessment 5,assessment,82,,
GB-00417,2026-10-14,RIV-1005,PE-101,PE Assessment 5,assessment,78,,
GB-00418,2026-10-14,RIV-1006,PE-101,PE Assessment 5,assessment,93,,
GB-00419,2026-10-14,RIV-1007,PE-101,PE Assessment 5,assessment,85,,
GB-00420,2026-10-14,RIV-1008,PE-101,PE Assessment 5,assessment,84,,
GB-00421,2026-10-14,RIV-1009,PE-101,PE Assessment 5,assessment,74,,
GB-00422,2026-10-14,RIV-1010,PE-101,PE Assessment 5,assessment,85,,
GB-00423,2026-10-14,RIV-1011,PE-101,PE Assessment 5,assessment,72,,
GB-00424,2026-10-14,RIV-1012,PE-101,PE Assessment 5,assessment,86,,
GB-00425,2026-10-28,RIV-1001,PE-101,PE Assessment 6,assessment,77,,
GB-00426,2026-10-28,RIV-1002,PE-101,PE Assessment 6,assessment,89,,
GB-00427,2026-10-28,RIV-1003,PE-101,PE Assessment 6,assessment,96,,
GB-00428,2026-10-28,RIV-1004,PE-101,PE Assessment 6,assessment,87,,
GB-00429,2026-10-28,RIV-1005,PE-101,PE Assessment 6,assessment,80,,
GB-00430,2026-10-28,RIV-1006,PE-101,PE Assessment 6,assessment,80,,
GB-00431,2026-10-28,RIV-1007,PE-101,PE Assessment 6,assessment,87,,
GB-00432,2026-10-28,RIV-1008,PE-101,PE Assessment 6,assessment,79,,
GB-00433,2026-10-28,RIV-1009,PE-101,PE Assessment 6,assessment,78,,
GB-00434,2026-10-28,RIV-1010,PE-101,PE Assessment 6,assessment,77,,
GB-00435,2026-10-28,RIV-1011,PE-101,PE Assessment 6,assessment,83,,
GB-00436,2026-10-28,RIV-1012,PE-101,PE Assessment 6,assessment,88,,
GB-00437,2026-11-18,RIV-1001,PE-101,PE Assessment 7,assessment,79,,
GB-00438,2026-11-18,RIV-1002,PE-101,PE Assessment 7,assessment,89,,
GB-00439,2026-11-18,RIV-1003,PE-101,PE Assessment 7,assessment,94,,
GB-00440,2026-11-18,RIV-1004,PE-101,PE Assessment 7,assessment,91,,
GB-00441,2026-11-18,RIV-1005,PE-101,PE Assessment 7,assessment,76,,
GB-00442,2026-11-18,RIV-1006,PE-101,PE Assessment 7,assessment,90,,
GB-00443,2026-11-18,RIV-1007,PE-101,PE Assessment 7,assessment,80,,
GB-00444,2026-11-18,RIV-1008,PE-101,PE Assessment 7,assessment,75,,
GB-00445,2026-11-18,RIV-1009,PE-101,PE Assessment 7,assessment,82,,
GB-00446,2026-11-18,RIV-1010,PE-101,PE Assessment 7,assessment,75,,
GB-00447,2026-11-18,RIV-1011,PE-101,PE Assessment 7,assessment,68,,
GB-00448,2026-11-18,RIV-1012,PE-101,PE Assessment 7,assessment,86,,
GB-00449,2026-12-09,RIV-1001,PE-101,PE Assessment 8,assessment,74,,
GB-00450,2026-12-09,RIV-1002,PE-101,PE Assessment 8,assessment,81,,
GB-00451,2026-12-09,RIV-1003,PE-101,PE Assessment 8,assessment,88,,
GB-00452,2026-12-09,RIV-1004,PE-101,PE Assessment 8,assessment,80,,
GB-00453,2026-12-09,RIV-1005,PE-101,PE Assessment 8,assessment,76,,
GB-00454,2026-12-09,RIV-1006,PE-101,PE Assessment 8,assessment,94,,
GB-00455,2026-12-09,RIV-1007,PE-101,PE Assessment 8,assessment,81,,
GB-00456,2026-12-09,RIV-1008,PE-101,PE Assessment 8,assessment,77,,
GB-00457,2026-12-09,RIV-1009,PE-101,PE Assessment 8,assessment,83,,
GB-00458,2026-12-09,RIV-1010,PE-101,PE Assessment 8,assessment,82,,
GB-00459,2026-12-09,RIV-1011,PE-101,PE Assessment 8,assessment,72,,
GB-00460,2026-12-09,RIV-1012,PE-101,PE Assessment 8,assessment,76,,
GB-00553,2026-09-02,RIV-1012,PE-101,Class Participation,participation,88,,
